; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 ; 15001 
; Aug 8 ; Aug 7 ; Aug 6 ; Aug 5 ; Aug 5 ; Aug 4 ; Aug 4 ; Aug 3 ; Aug 3 ; Aug 3 ; Aug 2 ; Aug 2 ; Aug 1 ; Aug 1 ; Jul 31 ; Jul 31 ; Jul 30 ; Jul 30 ; Jul 29 ; Jul 29 ; Jul 28 ; Jul 28 ; Jul 27 ; Jul 27 ; Jul 27 ; Jul 26 ; Jul 26 ; Jul 25 ; Jul 25 
;;
failed;=COUNTIF(B9:B302, "x");=COUNTIF(C9:C302, "x");=COUNTIF(D9:D302, "x");=COUNTIF(E9:E302, "x");=COUNTIF(F9:F302, "x");=COUNTIF(G9:G302, "x");=COUNTIF(H9:H302, "x");=COUNTIF(I9:I302, "x");=COUNTIF(J9:J302, "x");=COUNTIF(K9:K302, "x");=COUNTIF(L9:L302, "x");=COUNTIF(M9:M302, "x");=COUNTIF(N9:N302, "x");=COUNTIF(O9:O302, "x");=COUNTIF(P9:P302, "x");=COUNTIF(Q9:Q302, "x");=COUNTIF(R9:R302, "x");=COUNTIF(S9:S302, "x");=COUNTIF(T9:T302, "x");=COUNTIF(U9:U302, "x");=COUNTIF(V9:V302, "x");=COUNTIF(W9:W302, "x");=COUNTIF(X9:X302, "x");=COUNTIF(Y9:Y302, "x");=COUNTIF(Z9:Z302, "x");=COUNTIF(AA9:AA302, "x");=COUNTIF(AB9:AB302, "x");=COUNTIF(AC9:AC302, "x");=COUNTIF(AD9:AD302, "x");
pass;=SUM(B9:B302);=SUM(C9:C302);=SUM(D9:D302);=SUM(E9:E302);=SUM(F9:F302);=SUM(G9:G302);=SUM(H9:H302);=SUM(I9:I302);=SUM(J9:J302);=SUM(K9:K302);=SUM(L9:L302);=SUM(M9:M302);=SUM(N9:N302);=SUM(O9:O302);=SUM(P9:P302);=SUM(Q9:Q302);=SUM(R9:R302);=SUM(S9:S302);=SUM(T9:T302);=SUM(U9:U302);=SUM(V9:V302);=SUM(W9:W302);=SUM(X9:X302);=SUM(Y9:Y302);=SUM(Z9:Z302);=SUM(AA9:AA302);=SUM(AB9:AB302);=SUM(AC9:AC302);=SUM(AD9:AD302);
total run;=COUNTA(B9:B302);=COUNTA(C9:C302);=COUNTA(D9:D302);=COUNTA(E9:E302);=COUNTA(F9:F302);=COUNTA(G9:G302);=COUNTA(H9:H302);=COUNTA(I9:I302);=COUNTA(J9:J302);=COUNTA(K9:K302);=COUNTA(L9:L302);=COUNTA(M9:M302);=COUNTA(N9:N302);=COUNTA(O9:O302);=COUNTA(P9:P302);=COUNTA(Q9:Q302);=COUNTA(R9:R302);=COUNTA(S9:S302);=COUNTA(T9:T302);=COUNTA(U9:U302);=COUNTA(V9:V302);=COUNTA(W9:W302);=COUNTA(X9:X302);=COUNTA(Y9:Y302);=COUNTA(Z9:Z302);=COUNTA(AA9:AA302);=COUNTA(AB9:AB302);=COUNTA(AC9:AC302);=COUNTA(AD9:AD302);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);=IF(AD5=0, "N/A",AD5/AD6);
;;
asuka;;;1;;;;1;;;;;1;;;;;;1;;;1;;1;;;;;;;
asurada (hayato);;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;
asurada (spherion);;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;
atlas-kernelnext (atlas);;;;1;;1;;;;;1;;;;;;;;;;;;;;;1;;1;;
brya (anahera);;;1;1;;1;;;;;;;1;;;1;;;;1;;1;1;;;;1;;;
brya (banshee);;;;1;;1;;;;;1;;1;;;;;;1;1;;1;1;;;1;1;1;;
brya (felwinter);;;;1;;;;;;;1;;;;1;;;;;;;;;1;1;1;;;;
brya (gimble);;;;1;;1;;;;;1;;1;;1;;;;;;;;;1;;;;1;;
brya (kano);;;;1;;1;1;;;;1;;1;1;1;;;;;1;;1;;;;1;1;;;
brya (primus);;;;;;1;;;;;1;;;;;;;;;;;1;;1;;1;;1;;
brya (redrix);;;;1;;1;;;;;1;;;;;;;;1;;;1;;1;;1;;;;
brya (taeko);;;;1;;;;;;;1;;1;;;;;;1;;;;;;;1;;;;
brya (taniks);;;;1;;;;;;;1;;;;1;;;;1;;;1;1;1;;1;;;;
brya (vell);;;;1;;;;;;;1;;;1;;;;;1;1;;1;;1;;1;;;;
brya (volmar);;;1;1;;;;;;;1;;1;1;1;;;;;;;;;1;;1;;1;;
brya-kernelnext (anahera);;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;
brya-kernelnext (felwinter);;;;1;;1;;;;;1;;;;;;;;1;;;;;;;;;;;
brya-kernelnext (gimble);;;;1;;;;;;;1;;;;;;;;1;;;1;;;;;;;;
brya-kernelnext (kano);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
brya-kernelnext (primus);;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;
brya-kernelnext (redrix);;;;1;;;;;;;1;;;;1;;1;;;;;1;;;;;;;;
brya-kernelnext (taeko);;;;1;;1;;;;;1;;;;;;1;;;;;1;;;;;;;;
brya-manatee (gimble);;;;1;;;;;;;1;;;;1;;1;;1;;;;;1;;1;;;;
caroline;;;1;;;;;;1;;;1;;1;;;;;;;1;;1;;;;1;;;
cave;;;1;;;;1;;;;;;;1;;1;;;;;;;1;;1;;;;1;
chell;;;;;;;;;;;;;;;;1;;;;1;1;;;;1;;;;;
cherry (dojo);;;1;;1;1;;;;;1;1;;1;;1;1;;;;;;1;;1;;1;;;
cherry (tomato);;;;1;;;1;;;;1;1;;1;1;;1;1;;1;;;;;1;;;;1;
coral-kernelnext (astronaut);;;;;;1;;1;;1;1;;;;;;1;;;;;1;;1;;1;;1;;
coral-kernelnext (babymega);;;;1;;1;;1;;1;;;;;;;1;;1;;;;;1;;1;;;;
coral-kernelnext (babytiger);;;;1;;1;;;;1;;;;;1;;;;1;;;1;;;;1;;;;
coral-kernelnext (blacktip);;;;1;;1;;1;;;1;;;;1;;;;;;;;;;;1;;1;;
coral-kernelnext (blacktip360);;;;1;;;;1;;;1;;;;;;1;;1;;;1;;;;1;;1;;
coral-kernelnext (blacktiplte);;;;1;;;;1;;;1;;;;;;1;;;;;;;1;;1;;1;;
coral-kernelnext (lava);;;;;;1;;1;;1;1;;;;;;;;;;;;;1;;1;;;;
coral-kernelnext (nasher);;;;;;1;;1;;1;;;;;1;;;;;;;1;;;;1;;1;;
coral-kernelnext (nasher360);;;;;;1;;1;;1;1;;;;;;;;1;;;1;;;;1;;1;;
coral-kernelnext (rabbid);;;;;;1;;1;;;1;;;;;;1;;;;;;;1;;1;;;;
coral-kernelnext (robo);;;;1;;1;;1;;1;1;;;;;;;;;;;1;;;;1;;1;;
coral-kernelnext (robo360);;;;1;;1;;1;;1;1;;;;1;;;;1;;;;;1;;;;;;
coral-kernelnext (santa);;;;1;;1;;1;;1;1;;;;1;;;;;;;1;;;;;;;;
coral-kernelnext (whitetip);;;;1;;1;;1;;;1;;;;;;;;;;;1;;1;;;;;;
dedede (beetley);;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;
dedede (blipper);;;1;;;;1;;;;;;;;;;;;;;1;;1;;1;;1;;1;
dedede (bookem);;;1;;;;;;;;;;;1;;;;;;;1;;1;;1;;1;;;
dedede (boten);;;1;;1;;;;;;;1;;;;1;;;;;1;;;;;;1;;1;
dedede (bugzzy);;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;
dedede (cret);;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;;
dedede (cret360);;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;
dedede (drawcia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
dedede (drawman);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;
dedede (drawper);;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;
dedede (galith);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
dedede (galith360);;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;
dedede (gallop);;;;;;;;;;;;1;;;;1;;;;;1;;;;;;1;;1;
dedede (galnat);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;
dedede (galnat360);;;;;1;;;;;;;;;1;;;;;;;;;1;;;;1;;;
dedede (galtic);;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;;
dedede (galtic360);;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;1;
dedede (kracko);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (kracko360);;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;1;
dedede (landia);;;;;;;;;;;;;;;;1;;1;;1;;;1;;;;;;1;
dedede (landrid);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
dedede (lantis);;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;
dedede (madoo);;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;
dedede (magister);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;
dedede (maglet);;;1;;1;;;;;;;;;1;;1;;;;1;;;1;;1;;;;;
dedede (maglia);;;;;1;;1;;;;;;;1;;1;;1;;;;;;;1;;;;;
dedede (maglith);;;;;;;;;;;;;;;;;;1;;;;;1;;1;;1;;1;
dedede (magma);;;;;1;;;;;;;;;1;;1;;;;;;;;;1;;;;1;
dedede (magneto);;;1;;1;;;;;;;;;;;;;;;;1;;1;;1;;1;;;
dedede (magolor);;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
dedede (magpie);;;;;;;;;;;;;;;;1;;;;1;1;;;;1;;1;;;
dedede (metaknight);;;;;1;;1;;;;;1;;;;1;;;;1;;;;;;;;;1;
dedede (pasara);;;;;1;;;;;;;1;;;;;;1;;;;;;;1;;;;;
dedede (pirette);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirika);;;1;;1;;;;;;;;;1;;1;;;;;;;;;1;;;;;
dedede (sasuke);;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;
dedede (sasukette);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;
dedede (storo);;;1;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;
dedede (storo360);;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
drallion;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;
drallion (drallion360);;;;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;
elm;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
elm-kernelnext (elm);;;;1;;1;;;;;1;;;;;;1;;1;;;;;1;;1;;;;
eve;;;;1;;1;;;;;1;;;;;;1;;;;;1;;;;;;;;
fizz (jax);;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
fizz-kernelnext (jax);;;;1;;1;;;;;1;;;;1;;1;;1;;;;;;;;;1;;
fizz-kernelnext (teemo);;;;1;;1;;;;;1;;1;;1;;;;;;;;;1;;;;;;
grunt (aleena);;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;
grunt (barla);;;;;;1;;;;;;;;;;;;;1;;;1;;;;1;;;;
grunt (careena);;;;1;;1;;;;;;;;;;;;;;;;1;;;;1;;;;
grunt (kasumi);;;;;;1;;;;;;;;;;;1;;1;;;1;;1;;;;1;1;
grunt (kasumi360);;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;
grunt (liara);;;;1;;1;;;;;;;;;;;1;;;;;;;1;;1;;;;
grunt (treeya);;;;1;;1;;;;;;;;;;;;;1;;;;;1;;1;;;;
grunt (treeya360);;;;1;;1;;;;;;;;;;;1;;1;;;;;;;1;;1;;
grunt-arc-r (kasumi);;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;1;;1;;;;;1;;;;1;;1;;1;;;;;1;;;;;;
grunt-kernelnext (barla);;;;;;1;;;;;1;;;;1;;;;1;;;1;;;;1;;1;;
grunt-kernelnext (careena);;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;1;;
grunt-kernelnext (kasumi360);;;;1;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;;;
grunt-kernelnext (liara);;;;1;;;;;;;1;;;;;;;;;;;;;1;;1;;;;
grunt-kernelnext (treeya);;;;1;;1;;;;;1;;;;1;;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;1;;1;;;;;;;;;1;;1;;;;;;;;;;;;;
guybrush (dewatt);;;;1;1;;;;;;1;;;;1;1;1;;;;;;;;;;;;;
guybrush (nipperkin);;;;1;;1;;;;;1;;1;1;1;;1;;;;;;;;;;;;;
hana-kernelnext (hana);;;;1;;1;;;;;1;;;;;;;;1;;;;;;;;;;;
hatch (akemi);;;;1;;1;;;;;1;;;1;;;;;1;;;;;;;;;1;;
hatch (dragonair);;;;1;1;1;;;;;1;;;;1;;;;1;;;1;;1;;;;1;;
hatch (dratini);;;1;;;1;;;;;1;;;1;;;;;1;1;;;;;;1;;;;
hatch (helios);;;1;1;1;1;1;;;;1;;;1;;;;;;1;;;;1;1;1;1;1;;
hatch (jinlon);;;;1;;1;;;;;1;;;1;;;;;1;1;;1;;1;;1;1;1;;
hatch (kindred);;;;1;;;;;;;1;;;;1;;;;;;;1;;;;;1;;;
hatch (kled);;;;1;;;;;;;1;;;;;1;;;;;;1;;;;1;;1;;
hatch (kohaku);;;1;;;1;;;;;;;;;;;1;;1;1;;;;1;;;;;1;
hatch (nightfury);;;;;;1;;;;;1;1;;;1;;;;1;;;;1;;;1;;;;
hatch-arc-r (kled);;;;;;;;;;;1;;;;;;;;1;;;;;1;;1;;;;
hatch-arc-r (kohaku);;;;1;;1;;;;;1;;;;1;;1;;;;;;;1;;1;;1;;
hatch-borealis (helios);;;;;;;;;;;1;;;;1;;1;;;;;;;1;;1;;1;;
hatch-kernelnext (kohaku);;;;1;;;;;;;1;;1;;;;;;;;;;;;;1;;1;;
hatch-kernelnext (nightfury);;;;1;;1;;;;;1;;;;1;;;;1;;;;;;;1;;;;
jacuzzi-kernelnext (burnet);;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;
